Arquivo,Pasta,Verdadeiro,Predito,Tipo_Erro,Confiança,Prob_Cancer,Prob_Healthy,Caminho
00097_70_jpg.rf.b79c95ed0e296cf2079337e76d01a30d.jpg,Cancer,CÂNCER,SAUDÁVEL,FN,0.5470,0.4530,0.5470,C:/Users/GuilhermeBragadoVale/Desktop/Computer_Vision_For_Health/Cerebral_Cancer/Dataset/Test_Images_Total\Cancer\00097_70_jpg.rf.b79c95ed0e296cf2079337e76d01a30d.jpg
00151_12_jpg.rf.83a713a445da389874e0357cf852eba9.jpg,Cancer,CÂNCER,SAUDÁVEL,FN,0.7139,0.2861,0.7139,C:/Users/GuilhermeBragadoVale/Desktop/Computer_Vision_For_Health/Cerebral_Cancer/Dataset/Test_Images_Total\Cancer\00151_12_jpg.rf.83a713a445da389874e0357cf852eba9.jpg
00151_10_jpg.rf.fb6414d6907de8c6127ca72a33cde1ca.jpg,Cancer,CÂNCER,SAUDÁVEL,FN,0.6406,0.3594,0.6406,C:/Users/GuilhermeBragadoVale/Desktop/Computer_Vision_For_Health/Cerebral_Cancer/Dataset/Test_Images_Total\Cancer\00151_10_jpg.rf.fb6414d6907de8c6127ca72a33cde1ca.jpg
00338_15_jpg.rf.5631df9a80bca537d0e5d37373cb727a.jpg,Cancer,CÂNCER,SAUDÁVEL,FN,0.7218,0.2782,0.7218,C:/Users/GuilhermeBragadoVale/Desktop/Computer_Vision_For_Health/Cerebral_Cancer/Dataset/Test_Images_Total\Cancer\00338_15_jpg.rf.5631df9a80bca537d0e5d37373cb727a.jpg
00294_20_jpg.rf.b29bc3f98113600de80c20756ed580b3.jpg,Cancer,CÂNCER,SAUDÁVEL,FN,0.4577,0.5423,0.4577,C:/Users/GuilhermeBragadoVale/Desktop/Computer_Vision_For_Health/Cerebral_Cancer/Dataset/Test_Images_Total\Cancer\00294_20_jpg.rf.b29bc3f98113600de80c20756ed580b3.jpg
00151_15_jpg.rf.b94982e61c8d461d48c71b8aed2a5256.jpg,Cancer,CÂNCER,SAUDÁVEL,FN,0.5396,0.4604,0.5396,C:/Users/GuilhermeBragadoVale/Desktop/Computer_Vision_For_Health/Cerebral_Cancer/Dataset/Test_Images_Total\Cancer\00151_15_jpg.rf.b94982e61c8d461d48c71b8aed2a5256.jpg
00112_12_jpg.rf.755111578d223bdcae0460aea0cc82a6.jpg,Cancer,CÂNCER,SAUDÁVEL,FN,0.7513,0.2487,0.7513,C:/Users/GuilhermeBragadoVale/Desktop/Computer_Vision_For_Health/Cerebral_Cancer/Dataset/Test_Images_Total\Cancer\00112_12_jpg.rf.755111578d223bdcae0460aea0cc82a6.jpg
00151_14_jpg.rf.2949912f825123033e3a990b5e284385.jpg,Cancer,CÂNCER,SAUDÁVEL,FN,0.7862,0.2138,0.7862,C:/Users/GuilhermeBragadoVale/Desktop/Computer_Vision_For_Health/Cerebral_Cancer/Dataset/Test_Images_Total\Cancer\00151_14_jpg.rf.2949912f825123033e3a990b5e284385.jpg
00334_108_jpg.rf.f775000a5a05af4c17ad0ce06c2652b1.jpg,Cancer,CÂNCER,SAUDÁVEL,FN,0.6862,0.3138,0.6862,C:/Users/GuilhermeBragadoVale/Desktop/Computer_Vision_For_Health/Cerebral_Cancer/Dataset/Test_Images_Total\Cancer\00334_108_jpg.rf.f775000a5a05af4c17ad0ce06c2652b1.jpg
00116_15_jpg.rf.3c1e2961d76160d30f97fda185cb2c8c.jpg,Cancer,CÂNCER,SAUDÁVEL,FN,0.6823,0.3177,0.6823,C:/Users/GuilhermeBragadoVale/Desktop/Computer_Vision_For_Health/Cerebral_Cancer/Dataset/Test_Images_Total\Cancer\00116_15_jpg.rf.3c1e2961d76160d30f97fda185cb2c8c.jpg
00111_110_jpg.rf.ec4500900d93bec120746cf7166d9994.jpg,Cancer,CÂNCER,SAUDÁVEL,FN,0.9311,0.0689,0.9311,C:/Users/GuilhermeBragadoVale/Desktop/Computer_Vision_For_Health/Cerebral_Cancer/Dataset/Test_Images_Total\Cancer\00111_110_jpg.rf.ec4500900d93bec120746cf7166d9994.jpg
00151_10_jpg.rf.61937e6cfb6f759f68fb610c15b9cb70.jpg,Cancer,CÂNCER,SAUDÁVEL,FN,0.8727,0.1273,0.8727,C:/Users/GuilhermeBragadoVale/Desktop/Computer_Vision_For_Health/Cerebral_Cancer/Dataset/Test_Images_Total\Cancer\00151_10_jpg.rf.61937e6cfb6f759f68fb610c15b9cb70.jpg
00122_10_jpg.rf.69a4e11a7d3f84cf04856d4e16ea3133.jpg,Cancer,CÂNCER,SAUDÁVEL,FN,0.5061,0.4939,0.5061,C:/Users/GuilhermeBragadoVale/Desktop/Computer_Vision_For_Health/Cerebral_Cancer/Dataset/Test_Images_Total\Cancer\00122_10_jpg.rf.69a4e11a7d3f84cf04856d4e16ea3133.jpg
00123_13_jpg.rf.9aa0299f01df12fff0c452227b968cbe.jpg,Cancer,CÂNCER,SAUDÁVEL,FN,0.7758,0.2242,0.7758,C:/Users/GuilhermeBragadoVale/Desktop/Computer_Vision_For_Health/Cerebral_Cancer/Dataset/Test_Images_Total\Cancer\00123_13_jpg.rf.9aa0299f01df12fff0c452227b968cbe.jpg
00294_20_jpg.rf.8ed04f2163239abdbea631231e170e29.jpg,Cancer,CÂNCER,SAUDÁVEL,FN,0.8041,0.1959,0.8041,C:/Users/GuilhermeBragadoVale/Desktop/Computer_Vision_For_Health/Cerebral_Cancer/Dataset/Test_Images_Total\Cancer\00294_20_jpg.rf.8ed04f2163239abdbea631231e170e29.jpg
00123_15_jpg.rf.0b7c47e053b07926a3a1d57ac7ba5ea6.jpg,Cancer,CÂNCER,SAUDÁVEL,FN,0.9164,0.0836,0.9164,C:/Users/GuilhermeBragadoVale/Desktop/Computer_Vision_For_Health/Cerebral_Cancer/Dataset/Test_Images_Total\Cancer\00123_15_jpg.rf.0b7c47e053b07926a3a1d57ac7ba5ea6.jpg
00151_13_jpg.rf.9669e14e2b41ff0dc0208be8a76a2239.jpg,Cancer,CÂNCER,SAUDÁVEL,FN,0.6572,0.3428,0.6572,C:/Users/GuilhermeBragadoVale/Desktop/Computer_Vision_For_Health/Cerebral_Cancer/Dataset/Test_Images_Total\Cancer\00151_13_jpg.rf.9669e14e2b41ff0dc0208be8a76a2239.jpg
00123_13_jpg.rf.adc5e34468f1fb530eacf0c29f1d4c99.jpg,Cancer,CÂNCER,SAUDÁVEL,FN,0.6873,0.3127,0.6873,C:/Users/GuilhermeBragadoVale/Desktop/Computer_Vision_For_Health/Cerebral_Cancer/Dataset/Test_Images_Total\Cancer\00123_13_jpg.rf.adc5e34468f1fb530eacf0c29f1d4c99.jpg
00151_14_jpg.rf.916b4a5d237470a6c2dae40ee628097c.jpg,Cancer,CÂNCER,SAUDÁVEL,FN,0.7666,0.2334,0.7666,C:/Users/GuilhermeBragadoVale/Desktop/Computer_Vision_For_Health/Cerebral_Cancer/Dataset/Test_Images_Total\Cancer\00151_14_jpg.rf.916b4a5d237470a6c2dae40ee628097c.jpg
00090_181_jpg.rf.d036786bbc5eb161e71da95a3a95cf2b.jpg,Cancer,CÂNCER,SAUDÁVEL,FN,0.6238,0.3762,0.6238,C:/Users/GuilhermeBragadoVale/Desktop/Computer_Vision_For_Health/Cerebral_Cancer/Dataset/Test_Images_Total\Cancer\00090_181_jpg.rf.d036786bbc5eb161e71da95a3a95cf2b.jpg
00282_99_jpg.rf.aa8a8e285025e40a4929a07a50d201a2.jpg,Cancer,CÂNCER,SAUDÁVEL,FN,0.6256,0.3744,0.6256,C:/Users/GuilhermeBragadoVale/Desktop/Computer_Vision_For_Health/Cerebral_Cancer/Dataset/Test_Images_Total\Cancer\00282_99_jpg.rf.aa8a8e285025e40a4929a07a50d201a2.jpg
00116_16_jpg.rf.554d34cb2640c939327c6805d783c4bd.jpg,Cancer,CÂNCER,SAUDÁVEL,FN,0.7801,0.2199,0.7801,C:/Users/GuilhermeBragadoVale/Desktop/Computer_Vision_For_Health/Cerebral_Cancer/Dataset/Test_Images_Total\Cancer\00116_16_jpg.rf.554d34cb2640c939327c6805d783c4bd.jpg
